33,7,211,3,33,"AudioManager::playSfxLoop@114-146@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::playSfxLoop","AudioManager::playSfxLoop( String resourcePath , float gainDb , double volumeScale)",114,146
20,6,164,4,20,"AudioManager::playSfxLoop@148-167@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::playSfxLoop","AudioManager::playSfxLoop( String key , String resourcePath , float gainDb , double volumeScale)",148,167
8,2,44,0,8,"AudioManager::stopLoop@169-176@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::stopLoop","AudioManager::stopLoop()",169,176
8,2,44,0,8,"AudioManager::stopSfxLoop@178-185@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::stopSfxLoop","AudioManager::stopSfxLoop()",178,185
13,2,84,1,13,"AudioManager::stopSfxLoop@187-199@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::stopSfxLoop","AudioManager::stopSfxLoop( String key)",187,199
6,2,44,1,6,"AudioManager::setMusicVolume@201-206@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::setMusicVolume","AudioManager::setMusicVolume( double volume)",201,206
13,5,138,1,13,"AudioManager::setSfxVolume@208-220@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::setSfxVolume","AudioManager::setSfxVolume( double volume)",208,220
3,1,10,0,3,"AudioManager::getMusicVolume@222-224@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::getMusicVolume","AudioManager::getMusicVolume()",222,224
3,1,10,0,3,"AudioManager::getSfxVolume@226-228@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::getSfxVolume","AudioManager::getSfxVolume()",226,228
37,7,249,0,37,"AudioManager::shutdown@230-266@C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","C:\proyecto_code_ia\metricas_realizadas\Prog-Concurrente\2026-PROGC-Q1-M5\Codigo_IA_generado\Sheriffsss\src\SheriffsssPackage\AudioManager.java","AudioManager::shutdown","AudioManager::shutdown()",230,266
